system_id,model_id,model_name,architecture_family,track,sampling_rate_hz,params_m,overall_score,pesq,stoi,mcd_db,lsd_db,utmos,nisqa,delta_wer_pct,rtf,speedup_x,peak_vram_mb,edge_feasible,is_pareto,checkpoint_url,paper_url,github_url,license,author,year,rank
Baseline,griffin_lim,Griffin-Lim STFT,Algorithmic DSP Baseline,24kHz Primary Benchmark,24000,0.0,79.01,3.909,0.994,4.17,3.15,3.52,3.81,-0.03,0.0057,175.7,72.0,Yes,True,https://librosa.org/doc/main/generated/librosa.griffinlim.html,https://ieeexplore.ieee.org/document/1172092,https://github.com/librosa/librosa,Public Domain,Griffin & Lim,1984,0
M1,rndvoc,RNDVoC,Random Distortion GAN,24kHz Primary Benchmark,24000,3.94,76.29,4.223,0.988,8.86,6.57,3.96,3.8,0.02,0.0217,46.0,570.0,Yes,True,https://huggingface.co/AndongLi/RNDVoC,https://arxiv.org/abs/2406.01257,https://github.com/AndongLi/RNDVoC,MIT,CAS / Li et al.,2024,1
M2,flow2gan,Flow2GAN (4-step),Flow Matching + GAN,24kHz Primary Benchmark,24000,79.08,75.58,4.489,0.995,6.64,6.51,4.13,3.85,0.04,0.0614,16.3,494.0,Yes,True,https://huggingface.co/k2-fsa/Flow2GAN,https://arxiv.org/abs/2405.08819,https://github.com/k2-fsa/lhotse,Apache-2.0,K2-FSA,2024,2
M3,vocos_mel_24khz,Vocos,Fourier / iSTFT ConvNeXt,24kHz Primary Benchmark,24000,13.58,74.6,3.646,0.973,8.57,7.07,3.83,3.78,0.09,0.0021,481.8,112.0,Yes,True,https://huggingface.co/charactr/vocos-mel-24khz,https://arxiv.org/abs/2306.00814,https://github.com/hubert-siuzdak/vocos,MIT,Charactr Inc.,2023,3
M4,bridgevoc,BridgeVoC,Brownian Bridge SDE,24kHz Primary Benchmark,24000,7.89,74.16,4.397,0.992,8.45,6.63,4.04,3.85,0.15,0.0779,12.8,474.0,Yes,False,https://huggingface.co/AndongLi/BridgeVoC,https://arxiv.org/abs/2406.01258,https://github.com/AndongLi/BridgeVoC,MIT,CAS / Li et al.,2024,4
M5,periodwave_turbo,PeriodWave-Turbo (4-step),Diffusion / Turbo SDE,24kHz Primary Benchmark,24000,29.81,72.65,4.395,0.992,9.8,6.97,4.11,3.89,-0.03,0.13,7.7,1038.0,Yes,False,https://github.com/kaist-dsp/PeriodWave,https://arxiv.org/abs/2408.06945,https://github.com/kaist-dsp/PeriodWave,MIT,KAIST,2024,5
M6,comvo_base,ComVo-Base,Complex-Valued Fourier,24kHz Primary Benchmark,24000,13.28,72.64,3.755,0.976,8.95,7.1,3.74,3.77,0.08,0.0157,63.7,384.0,Yes,False,https://huggingface.co/hsoh/ComVo-base,https://arxiv.org/abs/2406.19794,https://github.com/hsoh0306/ComVo,Apache-2.0,Seoul National Univ.,2024,6
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),Anti-Aliased Snake GAN,24kHz Primary Benchmark,24000,112.45,72.44,4.382,0.994,5.82,6.62,4.11,3.87,-0.01,0.1747,5.7,1556.0,Yes,False,https://huggingface.co/nvidia/bigvgan_v2_24khz_100band_256x,https://arxiv.org/abs/2206.04658,https://github.com/NVIDIA/BigVGAN,MIT,NVIDIA,2024,7
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),Anti-Aliased Snake GAN,24kHz Primary Benchmark,24000,14.03,70.57,3.867,0.98,9.08,7.04,3.91,3.8,0.03,0.0872,11.5,818.0,Yes,False,https://huggingface.co/nvidia/bigvgan_base_24khz_100band,https://arxiv.org/abs/2206.04658,https://github.com/NVIDIA/BigVGAN,MIT,NVIDIA,2022,8
M9,comvo_large,ComVo-Large,Complex-Valued Fourier,24kHz Primary Benchmark,24000,115.35,70.22,3.961,0.984,6.58,6.91,3.94,3.83,0.03,0.1174,8.5,1472.0,Yes,False,https://huggingface.co/hsoh/ComVo-large,https://arxiv.org/abs/2406.19794,https://github.com/hsoh0306/ComVo,Apache-2.0,Seoul National Univ.,2024,9
M10,wavefm,WaveFM (1-step),Distilled Flow Matching,24kHz Primary Benchmark,24000,19.53,66.07,3.626,0.97,12.21,7.13,3.29,3.47,0.01,0.056,17.9,328.0,Yes,False,https://github.com/lucas-ma/WaveFM,https://arxiv.org/abs/2406.00287,https://github.com/lucas-ma/WaveFM,MIT,Ma et al.,2024,10
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),Time-domain MRF-GAN,22.05kHz Legacy Track,22050,13.94,64.69,3.013,0.95,17.03,7.75,3.74,3.69,0.5,0.029,34.4,500.0,Yes,False,https://github.com/jik876/hifi-gan,https://arxiv.org/abs/2010.05646,https://github.com/jik876/hifi-gan,MIT,Kakao Enterprise,2020,11
